"LSOA11CD","class","total_length"
"W01000001","Unclassified",32.424
"W01000001","A Road",6.159
"W01000001","Not Classified",18.098
"W01000002","Unclassified",10.73
"W01000002","Not Classified",11.642
"W01000002","A Road",6.441
"W01000003","Not Classified",5.514
"W01000003","B Road",0.463
"W01000003","Unclassified",11.334
"W01000003","A Road",0.499
"W01000004","Unclassified",15.956
"W01000004","B Road",4.413
"W01000004","Not Classified",17.706
"W01000004","A Road",5.076
"W01000005","Unclassified",14.299
"W01000005","B Road",5.388
"W01000005","Not Classified",7.592
"W01000005","A Road",1.37
"W01000006","B Road",10.703
"W01000006","Unclassified",26.356
"W01000006","Not Classified",23.001
"W01000006","A Road",2.324
"W01000007","A Road",8.637
"W01000007","Unclassified",32.958
"W01000007","B Road",5.432
"W01000007","Not Classified",21.412
"W01000008","A Road",1.951
"W01000008","Not Classified",1.345
"W01000008","Unclassified",5.07
"W01000009","Not Classified",14.88
"W01000009","B Road",0.998
"W01000009","Unclassified",24.995
"W01000009","A Road",10.235
"W01000010","A Road",0.774
"W01000010","Unclassified",12.33
"W01000010","Not Classified",8.777
"W01000010","B Road",4.977
"W01000011","A Road",2.358
"W01000011","Not Classified",1.397
"W01000011","B Road",0.641
"W01000011","Unclassified",4.291
"W01000012","Unclassified",8.853
"W01000012","A Road",0.774
"W01000012","Not Classified",4.337
"W01000012","B Road",0.7
"W01000013","Unclassified",27.044
"W01000013","B Road",3.926
"W01000013","Not Classified",17.854
"W01000013","A Road",6.67
"W01000014","Unclassified",7.962
"W01000014","Not Classified",4.942
"W01000014","B Road",5.472
"W01000015","Unclassified",6.69
"W01000015","Not Classified",1.946
"W01000015","A Road",3.525
"W01000016","Unclassified",2.693
"W01000016","Not Classified",1.066
"W01000016","A Road",0.623
"W01000017","Not Classified",0.912
"W01000017","A Road",2.656
"W01000017","B Road",1.121
"W01000017","Unclassified",5.049
"W01000018","A Road",5.602
"W01000018","Not Classified",10.326
"W01000018","Unclassified",14.357
"W01000019","Unclassified",14.263
"W01000019","B Road",0.085
"W01000019","Not Classified",23.534
"W01000019","A Road",3.61
"W01000020","Not Classified",40.883
"W01000020","B Road",12.197
"W01000020","Unclassified",40.185
"W01000020","A Road",0.125
"W01000021","Unclassified",57.063
"W01000021","B Road",3.071
"W01000021","A Road",3.874
"W01000021","Not Classified",32.971
"W01000022","Unclassified",41.721
"W01000022","Not Classified",29.391
"W01000022","A Road",9.34
"W01000023","A Road",7.632
"W01000023","Unclassified",19.418
"W01000023","Not Classified",13.002
"W01000023","B Road",3.292
"W01000024","Unclassified",11.994
"W01000024","A Road",0.072
"W01000024","Not Classified",17.154
"W01000025","B Road",8.016
"W01000025","Not Classified",15.421
"W01000025","Unclassified",29.723
"W01000025","A Road",12.63
"W01000026","B Road",0.683
"W01000026","Not Classified",9.052
"W01000026","Unclassified",19.912
"W01000027","Not Classified",27.008
"W01000027","Unclassified",27.09
"W01000027","A Road",8.628
"W01000027","B Road",0.485
"W01000028","Unclassified",55.901
"W01000028","B Road",11.332
"W01000028","Not Classified",31.492
"W01000029","Unclassified",4.114
"W01000029","Not Classified",0.731
"W01000029","A Road",1.305
"W01000030","Unclassified",6.419
"W01000030","Not Classified",1.524
"W01000031","A Road",2.288
"W01000031","Unclassified",45.453
"W01000031","Not Classified",25.868
"W01000032","Unclassified",15.567
"W01000032","A Road",6.342
"W01000032","Not Classified",21.868
"W01000033","Unclassified",4.274
"W01000033","Not Classified",2.576
"W01000033","A Road",0.129
"W01000034","Unclassified",7.801
"W01000034","Not Classified",1.733
"W01000035","B Road",2.855
"W01000035","Unclassified",35.09
"W01000035","Not Classified",28.498
"W01000035","A Road",3.542
"W01000036","Not Classified",0.831
"W01000036","A Road",0.056
"W01000036","Unclassified",2.52
"W01000037","Unclassified",3.095
"W01000037","Not Classified",1.15
"W01000038","Not Classified",43.479
"W01000038","A Road",5.98
"W01000038","Unclassified",23.286
"W01000038","B Road",8.242
"W01000039","Not Classified",26.225
"W01000039","B Road",2
"W01000039","Unclassified",13.129
"W01000040","A Road",2.551
"W01000040","Unclassified",20.964
"W01000040","B Road",1.94
"W01000040","Not Classified",22.598
"W01000041","B Road",1.079
"W01000041","Unclassified",3.583
"W01000041","Not Classified",3.077
"W01000042","A Road",1.224
"W01000042","Unclassified",8.926
"W01000042","Not Classified",2.335
"W01000042","B Road",1.544
"W01000043","A Road",0.91
"W01000043","Unclassified",4.552
"W01000043","B Road",1.636
"W01000043","Not Classified",4.44
"W01000044","A Road",2.51
"W01000044","B Road",0.124
"W01000044","Unclassified",6.968
"W01000044","Not Classified",2.915
"W01000047","B Road",3.371
"W01000047","A Road",7.372
"W01000047","Not Classified",33.828
"W01000047","Unclassified",17.891
"W01000048","Unclassified",10.775
