"LSOA11CD","descriptiveterm","total_length"
"W01000001","Alley",0.178
"W01000001","Minor Road",35.152
"W01000001","Private Road - Restricted Access",22.486
"W01000001","Local Street",6.837
"W01000001","A Road",8.24
"W01000002","Local Street",4.325
"W01000002","Minor Road",12.006
"W01000002","Private Road - Restricted Access",15.518
"W01000002","Private Road - Publicly Accessible",0.177
"W01000002","A Road",7.357
"W01000003","B Road",0.995
"W01000003","A Road",1.258
"W01000003","Local Street",9.326
"W01000003","Minor Road",4.977
"W01000003","Private Road - Publicly Accessible",0.387
"W01000003","Alley",0.304
"W01000003","Private Road - Restricted Access",6.354
"W01000004","B Road",4.953
"W01000004","Minor Road",17.009
"W01000004","A Road",6.193
"W01000004","Local Street",5.226
"W01000004","Private Road - Publicly Accessible",0.297
"W01000004","Private Road - Restricted Access",22.756
"W01000005","A Road",1.752
"W01000005","B Road",6.302
"W01000005","Local Street",7.296
"W01000005","Alley",0.264
"W01000005","Minor Road",12.035
"W01000005","Private Road - Publicly Accessible",0.16
"W01000005","Private Road - Restricted Access",9.606
"W01000006","A Road",9.632
"W01000006","B Road",17.136
"W01000006","Local Street",3.983
"W01000006","Private Road - Restricted Access",28.472
"W01000006","Minor Road",35.077
"W01000006","Private Road - Publicly Accessible",1.101
"W01000007","Alley",0.033
"W01000007","Local Street",5.69
"W01000007","Minor Road",33.754
"W01000007","Private Road - Restricted Access",28.581
"W01000007","A Road",23.069
"W01000007","Private Road - Publicly Accessible",0.159
"W01000007","B Road",6.82
"W01000008","A Road",9.009
"W01000008","Alley",0.04
"W01000008","Minor Road",3.5
"W01000008","Local Street",3.961
"W01000008","Private Road - Restricted Access",3.818
"W01000008","Private Road - Publicly Accessible",0.128
"W01000009","Private Road - Publicly Accessible",0.083
"W01000009","Minor Road",36.342
"W01000009","B Road",3.149
"W01000009","A Road",28.424
"W01000009","Private Road - Restricted Access",21.779
"W01000009","Local Street",3.748
"W01000010","Minor Road",11.164
"W01000010","Private Road - Restricted Access",10.802
"W01000010","A Road",2.138
"W01000010","Local Street",8.135
"W01000010","Alley",0.118
"W01000010","B Road",5.946
"W01000011","A Road",3.98
"W01000011","Private Road - Publicly Accessible",0.041
"W01000011","B Road",0.935
"W01000011","Local Street",6.056
